epoch,train_loss,train_acc,test_loss,test_acc,lr
39,0.8638,74.23,1.3662,62.76,0.077844
40,0.8595,74.29,1.4258,61.01,0.076791
41,0.8480,74.87,1.4085,62.17,0.075722
42,0.8365,74.99,1.4303,61.98,0.074636
43,0.8213,75.40,1.3366,63.79,0.073535
44,0.8142,75.46,1.3837,62.95,0.072419
45,0.7984,76.12,1.3990,62.51,0.071289
46,0.7989,76.05,1.7113,56.35,0.070145
47,0.7758,76.68,1.3014,64.50,0.068989
48,0.7642,76.97,1.3677,63.07,0.067821
49,0.7548,77.13,1.4164,62.91,0.066641
50,0.7456,77.50,1.3874,62.61,0.065451
51,0.7320,77.57,1.2516,65.38,0.064251
52,0.7141,78.28,1.2484,65.52,0.063042
53,0.6980,78.73,1.1796,67.27,0.061825
54,0.6946,79.02,1.2544,65.71,0.060600
55,0.6762,79.52,1.2237,67.03,0.059369
56,0.6662,79.56,1.2184,67.02,0.058132
57,0.6455,80.20,1.2626,65.64,0.056890
58,0.6336,80.63,1.3246,65.19,0.055643
59,0.6244,80.79,1.3124,65.43,0.054393
60,0.6122,81.14,1.2517,66.10,0.053140
61,0.5986,81.59,1.2722,66.37,0.051885
62,0.5837,82.02,1.2073,67.18,0.050628
63,0.5647,82.64,1.2265,67.70,0.049372
64,0.5507,82.85,1.2475,67.34,0.048115
65,0.5475,83.05,1.3282,65.52,0.046860
66,0.5229,83.82,1.1821,67.85,0.045607
67,0.5130,84.13,1.3607,65.92,0.044357
68,0.4957,84.49,1.2289,67.79,0.043110
69,0.4788,85.18,1.3105,65.67,0.041868
70,0.4617,85.65,1.1595,68.50,0.040631
71,0.4331,86.70,1.2370,68.25,0.039400
72,0.4313,86.42,1.1826,69.40,0.038175
73,0.4040,87.33,1.1262,70.13,0.036958
74,0.3928,87.80,1.2435,67.67,0.035749
75,0.3901,87.89,1.1768,69.15,0.034549
76,0.3627,88.73,1.1818,70.53,0.033359
77,0.3474,89.26,1.2601,68.25,0.032179
78,0.3321,89.48,1.1523,70.68,0.031011
79,0.3128,90.29,1.1211,71.24,0.029855
80,0.2950,90.76,1.1437,70.99,0.028711
81,0.2810,91.12,1.1160,71.36,0.027581
82,0.2697,91.73,1.1770,70.06,0.026465
83,0.2438,92.50,1.2009,70.67,0.025364
84,0.2434,92.44,1.0961,72.03,0.024278
85,0.2264,92.94,1.1026,72.60,0.023209
86,0.2022,93.84,1.1701,71.65,0.022156
87,0.1889,94.20,1.1820,71.82,0.021121
88,0.1723,94.80,1.1462,72.33,0.020105
89,0.1648,95.06,1.0963,73.33,0.019107
90,0.1458,95.68,1.1295,72.81,0.018129
91,0.1370,95.95,1.1164,72.91,0.017171
92,0.1228,96.42,1.0937,73.69,0.016233
93,0.1034,97.03,1.0851,74.37,0.015317
94,0.0971,97.26,1.0204,75.34,0.014423
95,0.0784,97.84,1.0247,75.78,0.013552
96,0.0668,98.23,1.0178,75.84,0.012703
97,0.0615,98.34,1.0306,76.02,0.011878
98,0.0569,98.55,1.0138,76.23,0.011077
99,0.0425,98.97,1.0254,76.75,0.010300
100,0.0359,99.19,1.0146,77.32,0.009549
101,0.0265,99.48,0.9567,78.25,0.008823
102,0.0228,99.54,0.9313,78.21,0.008124
103,0.0190,99.65,0.8957,79.18,0.007450
104,0.0141,99.80,0.9015,79.20,0.006804
105,0.0114,99.85,0.9127,79.08,0.006185
106,0.0112,99.84,0.9137,79.17,0.005593
107,0.0105,99.85,0.8712,79.82,0.005030
108,0.0088,99.91,0.8605,80.11,0.004495
109,0.0084,99.90,0.8525,80.29,0.003988
110,0.0080,99.91,0.8531,80.47,0.003511
111,0.0072,99.94,0.8432,80.34,0.003063
112,0.0070,99.94,0.8491,80.21,0.002645
113,0.0069,99.95,0.8357,80.58,0.002257
114,0.0067,99.94,0.8353,80.61,0.001899
115,0.0062,99.95,0.8398,80.53,0.001571
116,0.0061,99.97,0.8385,80.56,0.001274
117,0.0063,99.96,0.8328,80.60,0.001007
118,0.0061,99.96,0.8357,80.42,0.000772
119,0.0060,99.96,0.8307,80.56,0.000567
120,0.0061,99.97,0.8295,80.59,0.000394
121,0.0060,99.96,0.8306,80.55,0.000252
122,0.0060,99.97,0.8303,80.60,0.000142
123,0.0060,99.96,0.8293,80.73,0.000063
124,0.0058,99.96,0.8314,80.66,0.000016
125,0.0057,99.98,0.8295,80.69,0.000000
