epoch,train_loss,train_acc,test_loss,test_acc,lr
1,4.1864,6.47,3.7066,11.37,0.099984
2,3.4183,17.10,3.2150,22.46,0.099937
3,2.7324,29.44,2.5450,34.17,0.099858
4,2.2113,40.29,2.2853,40.34,0.099748
5,1.9208,46.91,2.0635,45.39,0.099606
6,1.7426,51.48,2.1281,45.19,0.099433
7,1.6247,54.38,2.1659,44.45,0.099228
8,1.5371,56.36,1.8785,49.19,0.098993
9,1.4669,58.11,1.7779,51.63,0.098726
10,1.4066,59.80,1.7871,51.31,0.098429
11,1.3669,60.69,1.9513,50.67,0.098101
12,1.3215,61.82,1.6917,54.11,0.097743
13,1.2892,63.00,1.6194,55.75,0.097355
14,1.2608,63.57,1.7707,52.45,0.096937
15,1.2294,64.38,1.5629,56.91,0.096489
16,1.2110,65.04,1.7340,53.60,0.096012
17,1.1832,65.63,1.4977,57.97,0.095505
18,1.1601,66.20,1.7360,53.06,0.094970
19,1.1413,66.79,1.5506,57.25,0.094407
20,1.1195,67.29,1.7906,53.43,0.093815
21,1.1073,67.65,1.6520,55.71,0.093196
22,1.0785,68.66,1.5170,58.63,0.092550
23,1.0666,68.68,1.4278,60.05,0.091876
24,1.0532,69.12,1.5742,57.96,0.091177
25,1.0415,69.30,1.5080,58.80,0.090451
26,1.0309,69.54,1.5136,58.23,0.089700
27,1.0154,70.02,1.7358,56.03,0.088923
28,1.0043,70.36,1.4971,59.24,0.088122
29,0.9936,70.74,1.5284,58.80,0.087297
30,0.9721,71.14,1.5252,58.62,0.086448
31,0.9587,71.43,1.4332,61.39,0.085577
32,0.9527,71.82,1.5994,59.44,0.084683
33,0.9358,72.22,1.5054,59.76,0.083767
34,0.9312,72.44,1.3388,62.52,0.082829
35,0.9154,72.83,1.4208,60.91,0.081871
36,0.9051,73.14,1.5004,59.77,0.080893
37,0.8938,73.43,1.4573,60.64,0.079895
38,0.8777,73.95,1.4112,61.08,0.078879
