epoch,train_loss,train_acc,test_loss,test_acc,lr
1,4.0415,8.21,3.6479,13.30,0.099984
2,3.3118,19.05,3.0150,24.42,0.099937
3,2.6879,30.52,2.5726,33.32,0.099858
4,2.2576,39.32,2.1977,40.87,0.099748
5,1.9709,46.03,2.2165,41.83,0.099606
6,1.7861,50.45,2.0512,45.70,0.099433
7,1.6597,53.44,1.9279,47.97,0.099228
8,1.5641,55.62,2.2174,43.57,0.098993
9,1.4968,57.36,1.7637,51.50,0.098726
10,1.4422,59.02,2.1159,46.24,0.098429
11,1.4012,59.87,1.7528,51.97,0.098101
12,1.3650,60.80,1.6907,54.26,0.097743
13,1.3160,62.13,1.6940,53.79,0.097355
14,1.2961,62.38,1.8441,50.99,0.096937
15,1.2687,63.38,1.5700,56.20,0.096489
16,1.2338,64.29,1.6371,55.85,0.096012
17,1.2088,64.89,1.8478,50.85,0.095505
18,1.1940,65.38,1.6194,56.74,0.094970
19,1.1679,65.91,1.6989,54.64,0.094407
20,1.1560,66.36,1.5737,57.04,0.093815
21,1.1290,67.08,1.5457,57.52,0.093196
22,1.1053,67.87,1.4951,58.84,0.092550
23,1.0856,68.03,1.5911,57.41,0.091876
24,1.0808,68.22,1.7035,54.45,0.091177
25,1.0651,68.83,1.5539,57.64,0.090451
26,1.0528,69.16,1.7158,54.47,0.089700
27,1.0418,69.39,1.6930,55.47,0.088923
28,1.0269,69.73,1.7289,55.17,0.088122
29,1.0128,70.26,1.4283,60.27,0.087297
30,0.9942,70.46,1.5575,57.78,0.086448
31,0.9855,70.85,1.7376,55.61,0.085577
32,0.9774,71.14,1.7644,55.67,0.084683
33,0.9617,71.60,1.4563,60.12,0.083767
34,0.9537,71.92,1.5551,59.17,0.082829
35,0.9388,72.32,1.4686,60.44,0.081871
36,0.9200,72.73,1.5216,58.80,0.080893
37,0.9122,73.04,1.4781,61.16,0.079895
38,0.9063,72.92,1.4541,60.87,0.078879
39,0.8947,73.35,1.4070,61.33,0.077844
40,0.8817,73.83,1.5443,59.35,0.076791
41,0.8705,73.78,1.5520,58.23,0.075722
42,0.8547,74.66,1.5455,59.94,0.074636
43,0.8402,74.96,1.5334,60.03,0.073535
44,0.8409,74.77,1.4247,61.41,0.072419
45,0.8234,75.22,1.3931,62.98,0.071289
46,0.8071,75.88,1.5401,60.18,0.070145
47,0.8037,75.84,1.4496,61.03,0.068989
48,0.7885,76.40,1.2533,64.88,0.067821
49,0.7753,76.74,1.3756,62.66,0.066641
50,0.7607,76.96,1.3676,63.58,0.065451
51,0.7509,77.18,1.4625,61.90,0.064251
52,0.7397,77.49,1.3823,63.78,0.063042
53,0.7225,78.25,1.6192,58.36,0.061825
54,0.7201,78.12,1.5101,60.88,0.060600
55,0.6967,78.76,1.3390,64.19,0.059369
56,0.6771,79.28,1.3530,64.89,0.058132
57,0.6716,79.66,1.2311,67.11,0.056890
58,0.6618,79.73,1.2537,65.85,0.055643
59,0.6455,80.22,1.3997,62.54,0.054393
60,0.6317,80.35,1.3159,65.62,0.053140
61,0.6136,81.17,1.3458,64.81,0.051885
62,0.6041,81.29,1.2545,66.29,0.050628
63,0.5952,81.70,1.3683,64.02,0.049372
64,0.5696,82.51,1.3151,65.89,0.048115
65,0.5605,82.52,1.2412,67.43,0.046860
66,0.5486,83.17,1.2094,68.14,0.045607
67,0.5256,83.80,1.2289,67.17,0.044357
68,0.5273,83.53,1.3219,65.76,0.043110
69,0.4987,84.38,1.1395,69.94,0.041868
70,0.4778,85.25,1.3316,65.74,0.040631
71,0.4719,85.38,1.2495,67.19,0.039400
72,0.4600,85.66,1.2409,67.51,0.038175
73,0.4320,86.49,1.2573,68.38,0.036958
74,0.4315,86.36,1.3117,67.73,0.035749
75,0.4079,87.16,1.2821,67.97,0.034549
76,0.3996,87.56,1.1330,70.61,0.033359
77,0.3823,88.02,1.2032,69.10,0.032179
78,0.3642,88.66,1.1222,71.61,0.031011
79,0.3393,89.27,1.2588,68.86,0.029855
80,0.3420,89.30,1.1483,70.59,0.028711
81,0.3143,90.30,1.1421,71.33,0.027581
82,0.2950,90.71,1.2196,69.93,0.026465
83,0.2920,90.85,1.3087,68.36,0.025364
84,0.2718,91.31,1.1448,70.95,0.024278
85,0.2538,92.02,1.1637,71.50,0.023209
86,0.2390,92.56,1.1850,70.97,0.022156
87,0.2258,92.94,1.1488,71.14,0.021121
88,0.2068,93.56,1.2443,70.39,0.020105
89,0.2035,93.66,1.2081,71.34,0.019107
90,0.1751,94.57,1.1481,72.96,0.018129
91,0.1674,94.88,1.1997,71.29,0.017171
