epoch,train_loss,train_acc,test_loss,test_acc,lr
92,0.1468,95.41,1.1328,73.65,0.016233
93,0.1307,95.88,1.1509,73.88,0.015317
94,0.1244,96.29,1.0990,74.16,0.014423
95,0.1060,96.76,1.0838,75.00,0.013552
96,0.0898,97.39,1.0418,75.60,0.012703
97,0.0778,97.73,1.0646,75.86,0.011878
98,0.0622,98.24,1.0350,76.47,0.011077
99,0.0561,98.48,1.0124,76.94,0.010300
100,0.0417,98.97,0.9957,77.27,0.009549
101,0.0357,99.11,0.9774,77.93,0.008823
102,0.0255,99.43,0.9536,77.96,0.008124
103,0.0222,99.53,0.9517,78.79,0.007450
104,0.0168,99.68,0.9539,78.50,0.006804
105,0.0143,99.76,0.9468,79.05,0.006185
106,0.0124,99.79,0.9224,79.06,0.005593
107,0.0118,99.83,0.8978,79.86,0.005030
108,0.0095,99.89,0.8973,79.65,0.004495
109,0.0081,99.93,0.8909,80.07,0.003988
110,0.0076,99.91,0.8792,80.30,0.003511
111,0.0075,99.92,0.8868,80.04,0.003063
112,0.0073,99.93,0.8781,80.03,0.002645
113,0.0069,99.93,0.8690,80.42,0.002257
114,0.0068,99.93,0.8660,80.49,0.001899
115,0.0063,99.96,0.8657,80.52,0.001571
116,0.0062,99.96,0.8687,80.64,0.001274
117,0.0063,99.96,0.8609,80.50,0.001007
118,0.0061,99.96,0.8603,80.54,0.000772
119,0.0059,99.95,0.8615,80.76,0.000567
120,0.0061,99.95,0.8609,80.62,0.000394
121,0.0060,99.97,0.8604,80.51,0.000252
122,0.0059,99.95,0.8579,80.56,0.000142
123,0.0060,99.96,0.8558,80.74,0.000063
124,0.0058,99.95,0.8598,80.54,0.000016
125,0.0059,99.96,0.8581,80.42,0.000000
